"#","Reference","Value","Напряжение","Material"
"1","C78","2200uF","25V","Elec"
"2","C77","100uF","16V","Elec"
"3","C76","10uF","16V","Elec"
"4","C74","220uF","100V","Elec"
"5","C73","100uF","16V","Elec"
"6","C68","100uF","100V","Elec"
"7","C62","47uF","450V","Elec"
"8","C61","47uF","450V","Elec"
"9","C60","47uF","450V","Elec"
"10","C59","200uF","450V","Elec"
"11","C49","2.2uF","100V","Elec"
"12","C41","47uF","450V","Elec"
"13","C40","10uF","100V","Elec"
"14","C39","10uF","100V","Elec"
"15","C35","1uF","100V","Elec"
"16","C29","22uF","100V","Elec"
"17","C20","470uF","16V","Elec"
"18","C18","1uF","100V","Elec"
"19","C7","22uF","100V","Elec"
"20","U13","EL34","",""
"21","U12","EL34","",""
"22","U11","LM386","",""
"23","U10","L7812","",""
"24","U9","TL062","",""
"25","U8","TL062","",""
"26","U7","TL062","",""
"27","U6","EL34","",""
"28","U5","ECC83","",""
"29","U4","EL34","",""
"30","U3","ECC83","",""
"31","U2","ECC83","",""
"32","U1","ECC83","",""
"33","T3","Power","",""
"34","T2","10H","",""
"35","T1","Sound","",""
"36","SW8","SW_Push_DPDT","",""
"37","SW7","CL/DR","",""
"38","SW6","CR/LD","",""
"39","SW5","Cab/Phones","",""
"40","SW4","Power","",""
"41","SW3","STDB","",""
"42","SW2","Selector","",""
"43","SW1","Bright","",""
"44","RV20","A1M","",""
"45","RV19","B25k","",""
"46","RV18","B25k","",""
"47","RV17","B50k","",""
"48","RV16","A1M","",""
"49","RV15","A250k","",""
"50","RV14","A1M","",""
"51","RV13","A1M","",""
"52","RV12","B250k","",""
"53","RV11","A1M","",""
"54","RV10","B25k","",""
"55","RV9","A1M","",""
"56","RV8","A1M","",""
"57","RV7","A1M","",""
"58","RV6","B10k","",""
"59","RV5","B250k","",""
"60","RV4","A1M","",""
"61","RV3","A250k","",""
"62","RV2","A1M","",""
"63","RV1","B250k","",""
"64","R99","470","",""
"65","R98","470","",""
"66","R97","1R","",""
"67","R96","1R","",""
"68","R95","2k2","",""
"69","R94","2k2","",""
"70","R93","2k2","",""
"71","R92","10","",""
"72","R91","68k","",""
"73","R90","470k","",""
"74","R89","4k12","",""
"75","R88","68k","",""
"76","R87","1k8","",""
"77","R86","100","",""
"78","R85","150","",""
"79","R84","470k","",""
"80","R83","10k","",""
"81","R82","820","",""
"82","R81","6k8","",""
"83","R80","82k","",""
"84","R79","24k","",""
"85","R78","24k","",""
"86","R77","36k","",""
"87","R76","36k","",""
"88","R75","15k","",""
"89","R74","11k","",""
"90","R73","100k","",""
"91","R72","6.2k","",""
"92","R71","82k","",""
"93","R70","36k","",""
"94","R69","20k","",""
"95","R68","1k","",""
"96","R67","12.7k","",""
"97","R66","20k","",""
"98","R65","20k","",""
"99","R64","22k","",""
"100","R63","22k","",""
"101","R62","15k","",""
"102","R61","10k","",""
"103","R60","200k","",""
"104","R59","20k","",""
"105","R58","18k7","",""
"106","R57","15k","",""
"107","R56","240k","",""
"108","R55","56k","",""
"109","R54","15k","",""
"110","R53","4k7","",""
"111","R52","2k2","",""
"112","R51","1k8","",""
"113","R50","2M2","",""
"114","R49","220k","",""
"115","R48","100k","",""
"116","R47","100k","",""
"117","R46","470k","",""
"118","R45","680k","",""
"119","R44","470","",""
"120","R43","1M","",""
"121","R42","15k","",""
"122","R41","2k4","",""
"123","R40","1M","",""
"124","R39","1R","",""
"125","R38","100k","",""
"126","R37","10k","",""
"127","R36","2M2","",""
"128","R35","1k8","",""
"129","R34","470","",""
"130","R33","10k","",""
"131","R32","470k","",""
"132","R31","1R","",""
"133","R30","1M","",""
"134","R29","1M","",""
"135","R28","39k","",""
"136","R27","100k","",""
"137","R26","470","",""
"138","R25","47k","",""
"139","R24","39k","",""
"140","R23","1M","",""
"141","R22","220k","",""
"142","R21","82k","",""
"143","R20","10k","",""
"144","R19","1M","",""
"145","R18","430k","",""
"146","R17","68k","",""
"147","R16","220k","",""
"148","R15","1k8","",""
"149","R14","100k","",""
"150","R13","2k2","",""
"151","R12","470k","",""
"152","R11","330k","",""
"153","R10","220k","",""
"154","R9","220k","",""
"155","R8","100k","",""
"156","R7","39k","",""
"157","R6","1k5","",""
"158","R5","220k","",""
"159","R4","33k","",""
"160","R3","100k","",""
"161","R2","100k","",""
"162","R1","68k","",""
"163","Q2","BF245A","",""
"164","Q1","BF245A","",""
"165","P1","Conn_WallPlug_Earth","",""
"166","NE1","Lamp_Neon","",""
"167","K4","CR/LD","",""
"168","K3","CL/DR","",""
"169","K2","CL/DR","",""
"170","K1","CR/LD","",""
"171","J9","Footswitch","",""
"172","J8","Cab/Phones","",""
"173","J7","LineOut","",""
"174","J6","Out","",""
"175","J5","Out","",""
"176","J4","Return","",""
"177","J3","Send","",""
"178","J2","In","",""
"179","J1","PreampOut","",""
"180","F2","Fuse","",""
"181","F1","Fuse","",""
"182","D20","1N4007","",""
"183","D19","1N4007","",""
"184","D18","1N4007","",""
"185","D17","1N4007","",""
"186","D12","GREEN","",""
"187","D11","YELLOW","",""
"188","D10","RED","",""
"189","D9","1N4007","",""
"190","D8","1N4007","",""
"191","D7","1N4007","",""
"192","D6","1N4007","",""
"193","D5","1N4007","",""
"194","D4","1N4007","",""
"195","D3","1N4007","",""
"196","D2","1N4007","",""
"197","D1","1N4007","",""
"198","C75","47n","100V",""
"199","C72","220n","100V",""
"200","C71","100n","100V",""
"201","C67","100n","100V",""
"202","C66","330p","100V",""
"203","C65","330p","100V",""
"204","C64","2n2","100V",""
"205","C63","2n2","100V",""
"206","C58","1n","100V",""
"207","C57","1n","100V",""
"208","C56","4n7","100V",""
"209","C55","4n7","100V",""
"210","C54","4n7","100V",""
"211","C53","4n7","100V",""
"212","C52","2n2","100V",""
"213","C51","2n2","100V",""
"214","C50","10n","100V",""
"215","C48","1n","100V",""
"216","C47","1n","100V",""
"217","C46","22n","100V",""
"218","C45","22n","100V",""
"219","C44","2n2","100V",""
"220","C43","1n","100V",""
"221","C42","1n","100V",""
"222","C38","10n","100V",""
"223","C37","100n","450V",""
"224","C36","47n","450V",""
"225","C34","100n","450V",""
"226","C33","22n","450V",""
"227","C32","1000p","450V",""
"228","C31","220n","100V",""
"229","C30","470n","100V",""
"230","C28","47pF","450V",""
"231","C27","22n","450V",""
"232","C26","22n","450V",""
"233","C25","2200p","450V",""
"234","C24","100n","100V",""
"235","C23","1uF","100V",""
"236","C22","100n","100V",""
"237","C21","680p","450V",""
"238","C19","22n","450V",""
"239","C17","47n","450V",""
"240","C16","1000p","450V",""
"241","C15","47n","450V",""
"242","C14","22n","450V",""
"243","C13","22n","450V",""
"244","C12","470p","450V",""
"245","C11","4n7","450V",""
"246","C10","1000p","450V",""
"247","C9","100n","450V",""
"248","C8","22n","450V",""
"249","C6","47n","450V",""
"250","C5","470p","450V",""
"251","C4","100n","450V",""
"252","C3","47n","450V",""
"253","C2","220p","450V",""
"254","C1","220p","450V",""
